address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number,longitude,latitude
1 NAGLE AVENUE,Manhattan,MN,1064121,2171,1,2015-07-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93046858,40.85910537
10 AKRON STREET,Staten Island,SI,5104032,1546,5,2013-04-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.1587045,40.6119207
10 WEST MT EDEN AVENUE,Bronx,BX,2008329,2859,44,2015-02-07,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.91521611,40.84436937
10-28 BEACH 20 STREET,Queens,QN,4298257,15561,13,2013-04-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75283521,40.60303775
10-28 BEACH 20 STREET,Queens,QN,4298257,15561,13,2012-06-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75283521,40.60303775
10-37 BEACH 20 STREET,Queens,QN,4300149,15704,60,2013-04-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.7533405,40.60351252
10-75 BEACH 21 STREET,Queens,QN,4300166,15705,125,2012-06-16,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955180J,061612CNEMR01,-73.75385272,40.6044217
10-75 BEACH 21 STREET,Queens,QN,4300166,15705,125,2014-05-09,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35095616K,050914CNRJM01,-73.75385272,40.6044217
10-75 BEACH 21 STREET,Queens,QN,4300166,15705,125,2013-04-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.75385272,40.6044217
100 A 7 AVENUE,Manhattan,MN,1013813,766,39,2013-10-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.99888523,40.74017442
100 DYCKMAN STREET,Manhattan,MN,1064176,2174,66,2017-06-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92522433,40.86172527
100 JAMAICA AVENUE,Brooklyn,BK,3083112,3661,15,2016-03-12,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35168792Y,031216CNEJM05,-73.89635307,40.67842902
100 JAMAICA AVENUE,Brooklyn,BK,3083112,3661,15,2017-02-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.89635307,40.67842902
100 MOTT STREET,Manhattan,MN,1002616,204,4,2014-02-15,ADMINISTRATIVE CLOSURE NN,,,-73.99720654,40.71726197
1000 SUTTER AVENUE,Brooklyn,BK,3089813,4051,16,2014-07-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.88142444,40.67109084
1003 2 AVENUE,Manhattan,MN,1038559,1327,21,2013-11-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96733136,40.75695801
1003 2 AVENUE,Manhattan,MN,1038559,1327,21,2014-10-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96733136,40.75695801
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,2015-03-22,MARCH: NO PA PERMIT/ECB NOV ISSUED,35117717Y,032215PANELC02,-74.00634378,40.65294578
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,2016-04-24,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00634378,40.65294578
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,2013-10-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00634378,40.65294578
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,2015-09-26,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-74.00634378,40.65294578
1006 FLUSHING AVENUE,Brooklyn,BK,3338441,3149,3,2013-09-21,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35025599Y,,-73.93064517,40.70374928
101 SHERMAN AVENUE,Manhattan,MN,1064745,2220,5,2016-08-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92507646,40.86353346
101-01 37 AVENUE,Queens,QN,4043297,1742,33,2013-10-05,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35065306H,,-73.8662418,40.75301658
101-02 NORTHERN BOULEVARD,Queens,QN,4042541,1716,1,2012-07-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86728754,40.75716593
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174,23,2014-05-09,MARCH: NO PA PERMIT/ECB NOV ISSUED,35091324K,062412PAERR01,-73.82212363,40.58308245
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174,23,2013-08-23,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35030238P,,-73.82212363,40.58308245
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174,23,2013-08-23,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35030239R,,-73.82212363,40.58308245
1013 BEDFORD AVENUE,Brooklyn,BK,3322140,1788,9,2015-06-27,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35137281K,"062815CNEMR01,DG01",-73.95484794,40.68932672
