Created Date,Incident Address
2015-09-01,2
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,1
2016-06-01,2
2016-07-01,0
2016-08-01,0
2016-09-01,4
2016-10-01,3
2016-11-01,0
2016-12-01,1
2017-01-01,1
2017-02-01,0
2017-03-01,1
2017-04-01,3
2017-05-01,1
2017-06-01,3
2017-07-01,4
2017-08-01,5
2017-09-01,5
2017-10-01,1
2017-11-01,0
2017-12-01,6
2018-01-01,2
2018-02-01,3
2018-03-01,2
2018-04-01,0
2018-05-01,7
2018-06-01,1
2018-07-01,3
2018-08-01,1
2018-09-01,6
2018-10-01,6
2018-11-01,3
2018-12-01,1
2019-01-01,7
2019-02-01,8
2019-03-01,8
2019-04-01,8
2019-05-01,16
2019-06-01,11
2019-07-01,7
2019-08-01,11
2019-09-01,13
2019-10-01,6
2019-11-01,7
2019-12-01,3
2020-01-01,7
2020-02-01,4
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,2
